IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;HORAIREPLANTATION;REMARQUABLE;Latitude;Longitude
116020.0;Figuier;Ficus;carica;SQUARE GEORGES CAIN / 8 RUE PAYENNE;Arbre;Jardin;PARIS 3E ARRDT;03-01;000101002;145.0;10.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8582820141;2,3626526639
2002395.0;Pin;Pinus;nigra;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-16;000501001;330.0;27.0;Adulte;Inconnue;;2000-01-01;02:00:00;OUI;48,8639651868;2,2513496836
138456.0;Figuier;Ficus;carica;JARDIN BRASSAI / 2 RUE EUGENE ATGET;Arbre;Jardin;PARIS 13E ARRDT;;00000028;120.0;4.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8288409104;2,3497646274
307478.0;Libocedre;Calocedrus;decurrens;JARDINS DES CHAMPS ELYSEES - SQUARE MARIGNY / 41 AVENUE GABRIEL;Arbre;Jardin;PARIS 8E ARRDT;Secteur Marigny;000104002;211.0;22.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8685728778;2,3133255898
158457.0;Arbre aux quarante ecus;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 84;Arbre;CIMETIERE;PARIS 20E ARRDT;20-12;D00000084016;165.0;20.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8633928030;2,3968465382
2002388.0;Plaqueminier;Diospyros;kaki;JARDIN DU PRE CATELAN - CARREFOUR DE LA GRANDE CASCADE / CARREFOUR DE LA CROIX CATELAN;Arbre;Jardin;BOIS DE BOULOGNE;16-13;000501002;146.0;15.0;Adulte;Inconnue;;1897-01-01;01:09:21;OUI;48,8648326277;2,2521746079
136323.0;Chêne;Quercus;ilex;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;Arbre;Jardin;PARIS 16E ARRDT;;00040039;235.0;13.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8465652331;2,2524200120
123805.0;Cedre;Cedrus;libani;SQUARE BARYE / 2 BOULEVARD HENRI IV;Arbre;Jardin;PARIS 4E ARRDT;;00000010;133.0;12.0;Adulte;Inconnue;;1993-01-01;02:00:00;OUI;48,8497459373;2,3600393733
2002379.0;Pin;Pinus;coulteri;ARBORETUM DE L ECOLE DU BREUIL - ROUTE DE LA FERME / ROUTE DE LA PYRAMIDE;Arbre;Jardin;BOIS DE VINCENNES;12-20;12-20;234.0;17.0;Adulte;Inconnue;;2000-01-01;02:00:00;OUI;48,8210095188;2,4555149836
2002363.0;Cypres Chauve;Taxodium;distichum;ILE DE BERCY / LAC DAUMESNIL;Arbre;Jardin;BOIS DE VINCENNES;12-10;12-10;285.0;18.0;Adulte;Inconnue;;1930-01-01;01:00:00;OUI;48,8326105728;2,4114527290
2002353.0;Araucaria;Araucaria;araucana;PARC DE BAGATELLE - ALLEE DE LONGCHAMP / ROUTE DE SEVRES A NEUILLY;Arbre;Jardin;BOIS DE BOULOGNE;16-23;000701003;182.0;11.0;Adulte;Inconnue;;1907-01-01;01:09:21;OUI;48,8716811488;2,2492326528
124358.0;Robinier;Robinia;pseudoacacia;SQUARE RENE VIVIANI;Arbre;Jardin;PARIS 5E ARRDT;;00000058;365.0;9.0;Mature;Inconnue;;1602-01-01;01:09:49;OUI;48,8521900449;2,3472916148
123156.0;Chêne;Quercus;frainetto;SQUARE CHARLES PEGUY / 21 RUE ROTTEMBOURG;Arbre;Jardin;PARIS 12E ARRDT;;000202001;169.0;14.0;Adulte;Inconnue;;1990-01-01;02:00:00;OUI;48,8388163194;2,4065668555
267663.0;Orme;Ulmus;minor;PLACE SAINT GERVAIS;Arbre;Alignement;PARIS 4E ARRDT;04-01;000301001;190.0;16.0;Mature;Inconnue;;1700-01-01;01:09:49;OUI;48,8557603076;2,3539934695
158456.0;Arbre aux quarante ecus;Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;Arbre;CIMETIERE;PARIS 20E ARRDT;20-13;D00000078003;180.0;16.0;Adulte;Inconnue;;1700-01-01;01:09:49;OUI;48,8638569860;2,3966371602
